read	cluster	cluster_size	type
3cd05d9c-f62d-41a0-949e-269193299975	86	1	annotated
3cd05d9c-f62d-41a0-949e-269193299975	86	1	annotated
dc2d95b9-87fe-4b03-9d18-e35e82ce1df0	87	1	annotated
281d517f-2726-412d-8dfb-2551ca08f190	88	1	annotated
409a0048-549e-4094-9d62-856678e09788	89	1	annotated
0762ccef-44bb-4d71-9ea9-683e6b4db62d	90	1	annotated
4aed2d79-5dcb-4da3-b8c7-a8973c406bdc	91	1	annotated
c4157157-d0d2-45a9-9cb3-05ebdcf70482	92	1	annotated
b2f0aa0d-bae3-4dce-b781-8a1e61ff6e48	93	1	annotated
30660f4e-858d-4adc-9bac-17ac421f3486	94	1	annotated
df5696df-2b24-40c4-9a5f-99d4bd34d56f	95	1	annotated
3843061c-1ef9-4c55-969c-1c80e0661864	96	1	annotated
3843061c-1ef9-4c55-969c-1c80e0661864	96	1	annotated
3843061c-1ef9-4c55-969c-1c80e0661864	96	1	annotated
3843061c-1ef9-4c55-969c-1c80e0661864	96	1	annotated
69aab09f-b08b-43c9-8b77-fe6778d16c0a	97	1	annotated
5f6851ef-8ac4-49d9-ba5c-230f83775b8e	98	1	annotated
36b8ead6-1d82-422c-af24-a007137f5c1c	99	1	annotated
8554e564-f2ad-4794-ab1e-3b33b982c17d	100	1	annotated
e8385ae9-a754-4319-af62-1dba164e4649	101	1	annotated
df0f001c-1848-4f68-bd23-5e4d80b28165	102	1	annotated
a01b10de-4990-4db5-872c-e90cfbe61314	103	1	annotated
ffa776f6-41e5-4bfe-9920-b7cdbe304d45	104	1	annotated
513e40d2-c354-4629-ae3b-059c17f2c133	105	1	annotated
d4002f1c-bf4a-4a1c-ab89-37e5cdb22f91	106	1	annotated
047e44ee-4669-421b-ab1f-b404b1f6ce48	107	1	annotated
1104497c-1749-4264-a8e5-fbaf0c7351b0	108	1	annotated
624b9443-fada-4b0a-aded-55b85eaaedb7	109	1	annotated
55aa8e5f-721c-47a6-8244-f3ac5721b8af	110	1	annotated
6c166c1b-ecec-4396-bbb5-4c8f4cf5d53a	111	1	annotated
3830a48d-2790-4e93-bf85-3e42ccfcb1a3	112	1	annotated
fdf8a938-f67e-48b7-9fbd-3c577f10e0d4	113	1	annotated
f0e0caf6-5de0-4acb-830a-ce24bead04bf	114	1	annotated
f0e0caf6-5de0-4acb-830a-ce24bead04bf	114	1	annotated
f0e0caf6-5de0-4acb-830a-ce24bead04bf	115	1	annotated
f0e0caf6-5de0-4acb-830a-ce24bead04bf	115	1	annotated
c096cc33-dd8d-43b4-b443-a4c62e9ea01b	116	1	annotated
4d403a7a-e607-44cb-be14-cee63e3c13b6	117	1	annotated
bf1a2651-2b69-4e27-aed7-f96ed5dd8234	118	1	annotated
381c2b31-3e78-4a46-a8bb-5b8e535c3ad0	119	1	annotated
b9691512-de95-45ff-b681-32176ac78ea3	120	1	annotated
7cfe8053-b172-4e2a-a522-4a5201c0edc3	121	1	annotated
9a83bec9-2f26-4594-8ae9-e78c1e49d816	122	1	annotated
5ac43cce-b9ad-4db4-9f5b-a27c06c30f77	123	1	annotated
